Name,Released year,Genre,Director,Runtime,Score,Status,Language,Budget,Revenue
Girl Next,2021,"['Horror', 'Thriller']",Larry Wade Carrell,1h 42m,56.0,Released,English,"$1,000,000.00",-
Talk to Me,2023,"['Horror', 'Thriller']",Danny Philippou,1h 35m,72.0,Released,English,"$4,500,000.00","$90,600,000.00"
The Velveteen Rabbit,2023,"['Animation', 'Family', 'Fantasy']",Jennifer Perrott,44m,75.0,Released,English,-,-
The Little Mermaid,2023,"['Adventure', 'Family', 'Fantasy', 'Romance']",Rob Marshall,2h 15m,65.0,Released,English,"$297,000,000.00","$569,600,000.00"
Hunting Souls,2022,['Horror'],Diego Silva Acevedo,1h 33m,68.0,Released,English,-,-
Elijo creer,2023,['Documentary'],Martín Méndez, -,80.0,Released,Spanish; Castilian,-,-
Uri: The Surgical Strike,2019,"['Action', 'Drama', 'War']",Aditya Dhar,2h 18m,72.0,Released,Hindi,-,-
Harry Potter and the Philosopher's Stone,2001,"['Adventure', 'Fantasy']",Chris Columbus,2h 32m,79.0,Released,English,"$125,000,000.00","$976,475,550.00"
Harry Potter and the Goblet of Fire,2005,"['Adventure', 'Fantasy']",Mike Newell,2h 37m,78.0,Released,English,"$150,000,000.00","$895,921,036.00"
The Monkey King: Reborn,2021,"['Animation', 'Action', 'Fantasy', 'Family']",Wang Yunfei,1h 35m,72.0,Released,Chinese,"$20,000,000.00","$13,000,000.00"
Black Adam,2022,"['Action', 'Adventure', 'Science Fiction']",C.C. Beck,2h 4m,70.0,Released,English,"$200,000,000.00","$393,252,111.00"
Avengers: Infinity War,2018,"['Adventure', 'Action', 'Science Fiction']",Keith Giffen,2h 29m,83.0,Released,English,"$300,000,000.00","$2,052,415,039.00"
Babylon A.D.,2008,"['Action', 'Adventure', 'Science Fiction', 'Thriller']",Mathieu Kassovitz,1h 41m,56.0,Released,English,"$70,000,000.00","$72,109,200.00"
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,"['Adventure', 'Family', 'Fantasy']",Andrew Adamson,2h 23m,71.0,Released,English,"$180,000,000.00","$745,013,115.00"
One Piece: Episode of Skypiea,2018,"['Animation', 'Action', 'Adventure', 'Comedy']",Konosuke Uda,1h 44m,69.0,Released,Japanese,-,-
In the Land of Saints and Sinners,2023,"['Crime', 'Drama', 'Thriller']",Robert Lorenz,1h 46m,67.0,Released,English,-,-
Jurassic World Dominion,2022,"['Adventure', 'Action', 'Science Fiction']",Colin Trevorrow,2h 27m,68.0,Released,English,"$165,000,000.00","$1,001,978,080.00"
Harry Potter and the Chamber of Secrets,2002,"['Adventure', 'Fantasy']",Chris Columbus,2h 41m,77.0,Released,English,"$100,000,000.00","$876,688,482.00"
After Everything,2023,"['Romance', 'Drama']",Castille Landon,1h 33m,70.0,Released,English,"$14,000,000.00","$10,600,000.00"
