Name,Released year,Genre,Director,Runtime,Score,Status,Language,Budget,Revenue
Inferno,1999,"['Action', 'Drama', 'Romance']",John G. Avildsen,1h 35m,61.0,Released,English,"$15,000,000.00",-
It's a Wonderful Knife,2023,"['Horror', 'Thriller', 'Comedy']",Tyler MacIntyre,1h 27m,52.0,Released,English,-,"$826,000.00"
Galaxy Games,2022,['Fantasy'],Ben Carland,1h 23m,40.0,Released,English,-,-
"2025: Blood, White & Blue",2022,"['Horror', 'Action', 'Comedy']",Josh E. Williams,2h 15m,70.0,Released,English,-,-
Blue Beetle,2023,"['Action', 'Science Fiction', 'Adventure']",Ángel Manuel Soto,2h 8m,69.0,Released,English,"$104,000,000.00","$129,300,000.00"
Meg 2: The Trench,2023,"['Action', 'Science Fiction', 'Horror']",Ben Wheatley,1h 56m,67.0,Released,English,"$129,000,000.00","$384,056,482.00"
Avatar: The Way of Water,2022,"['Science Fiction', 'Adventure', 'Action']",James Cameron,3h 12m,77.0,Released,English,"$460,000,000.00","$2,320,250,281.00"
How the Grinch Stole Christmas,2000,"['Family', 'Comedy', 'Fantasy']",Ron Howard,1h 44m,68.0,Released,English,"$123,000,000.00","$345,800,000.00"
John Wick: Chapter 4,2023,"['Action', 'Thriller', 'Crime']",Derek Kolstad,2h 50m,78.0,Released,English,"$90,000,000.00","$426,978,565.00"
Hunting Souls,2022,['Horror'],Diego Silva Acevedo,1h 33m,68.0,Released,English,-,-
Barbie,2023,"['Comedy', 'Adventure', 'Fantasy']",Greta Gerwig,1h 54m,72.0,Released,English,"$145,000,000.00","$1,441,800,000.00"
Mousa,2021,"['Action', 'Adventure', 'Science Fiction']",Peter Mimi,1h 41m,68.0,Released,Arabic,-,-
The Grinch,2018,"['Animation', 'Family', 'Comedy', 'Fantasy']",Scott Mosier,1h 25m,68.0,Released,English,"$75,000,000.00","$508,600,000.00"
Princess Khutulun,2021,"['History', 'Action', 'Drama']",S. Baasanjargal,1h 48m,71.0,Released,Mongolian,-,-
No Name and Dynamite,2022,['Western'],Errol Sack,1h 31m,55.0,Released,English,-,-
Napoleon,2023,"['Drama', 'History', 'War']",Ridley Scott,2h 38m,64.0,Released,English,"$165,000,000.00","$170,800,000.00"
The Advent Calendar,2021,"['Horror', 'Thriller']",Patrick Ridremont,1h 44m,66.0,Released,French,-,"$456,555.00"
V/H/S/85,2023,"['Horror', 'Thriller', 'Fantasy', 'Science Fiction', 'Crime', 'Mystery']",Mike P. Nelson,1h 50m,65.0,Released,English,-,-
The Immortal Wars: Rebirth,2021,['Science Fiction'],Joe Lujan,1h 24m,35.0,Released,English,-,-
Fast Charlie,2023,"['Action', 'Crime', 'Drama']",Phillip Noyce,1h 30m,63.0,Released,English,-,-
Dragon Ball: Mystical Adventure,1988,"['Action', 'Animation']",Kazuhisa Takenouchi,48m,68.0,Released,Japanese,-,"$8,201,600.00"
Wish,2023,"['Animation', 'Family', 'Fantasy', 'Adventure']",Fawn Veerasunthorn,1h 35m,66.0,Released,English,"$175,000,000.00","$106,460,919.00"
Candy Cane Lane,2023,"['Comedy', 'Fantasy', 'Family']",Reginald Hudlin,2h,64.0,Released,English,-,-
Spider-Man: No Way Home,2021,"['Action', 'Adventure', 'Science Fiction']",Steve Ditko,2h 28m,80.0,Released,English,"$200,000,000.00","$1,921,847,111.00"
Mr. Monk's Last Case: A Monk Movie,2023,"['Mystery', 'Comedy', 'Crime']",Randall Zisk,1h 37m,72.0,Released,English,-,-
The Exorcist: Believer,2023,['Horror'],David Gordon Green,1h 51m,62.0,Released,English,"$30,000,000.00","$134,800,000.00"
Gran Turismo,2023,"['Adventure', 'Action', 'Drama']",Neill Blomkamp,2h 15m,80.0,Released,English,"$60,000,000.00","$121,700,000.00"
Godzilla vs. Kong,2021,"['Action', 'Science Fiction', 'Thriller']",Adam Wingard,1h 54m,76.0,Released,English,"$200,000,000.00","$470,116,094.00"
Hell House LLC Origins: The Carmichael Manor,2023,"['Horror', 'Mystery']",Stephen Cognetti,1h 38m,63.0,Released,English,-,-
The Naughty Nine,2023,"['Family', 'Adventure', 'Comedy', 'TV Movie']",Alberto Belli,1h 23m,63.0,Released,English,-,-
Saw X,2023,"['Horror', 'Thriller', 'Mystery']",Kevin Greutert,1h 58m,74.0,Released,English,"$13,000,000.00","$107,700,000.00"
Spider-Man: Across the Spider-Verse,2023,"['Animation', 'Action', 'Adventure', 'Science Fiction']",Justin K. Thompson,2h 20m,84.0,Released,English,"$100,000,000.00","$690,500,000.00"
My Fault,2023,"['Drama', 'Romance']",Domingo González,1h 57m,81.0,Released,Spanish; Castilian,-,-
PAW Patrol: The Mighty Movie,2023,"['Animation', 'Family', 'Action', 'Science Fiction', 'Comedy']",Cal Brunker,1h 32m,69.0,Released,English,"$30,000,000.00","$192,400,000.00"
Indiana Jones and the Dial of Destiny,2023,"['Adventure', 'Action']",James Mangold,2h 35m,67.0,Released,English,"$294,700,000.00","$383,922,132.00"
"Muchachos, la película de la gente",2023,['Documentary'],Jesús Braceras, -,67.0,Released,Spanish; Castilian,-,-
Guardians of the Galaxy Vol. 3,2023,"['Science Fiction', 'Adventure', 'Action']",James Gunn,2h 30m,80.0,Released,English,"$250,000,000.00","$845,600,000.00"
Surviving My Quinceañera,2023,['Comedy'],Chava Cartas,1h 41m,75.0,Released,Spanish; Castilian,-,-
Merry Little Batman,2023,"['Animation', 'Action', 'Family', 'Comedy']",Mike Roth,1h 37m,68.0,Released,English,-,-
The Flash,2023,"['Action', 'Adventure', 'Science Fiction']",William Moulton Marston,2h 24m,68.0,Released,English,"$300,000,000.00","$268,400,000.00"
Retribution,2023,"['Action', 'Thriller', 'Crime']",Nimród Antal,1h 31m,70.0,Released,English,"$20,000,000.00","$16,700,000.00"
Girl Next,2021,"['Horror', 'Thriller']",Larry Wade Carrell,1h 42m,56.0,Released,English,"$1,000,000.00",-
Elijo creer,2023,['Documentary'],Martín Méndez, -,80.0,Released,Spanish; Castilian,-,-
The Archies,2023,"['Comedy', 'Drama', 'Music', 'Romance']",Zoya Akhtar,2h 24m,73.0,Released,Hindi,-,-
The Little Mermaid,2023,"['Adventure', 'Family', 'Fantasy', 'Romance']",Rob Marshall,2h 15m,65.0,Released,English,"$297,000,000.00","$569,600,000.00"
The Survivor,2022,"['History', 'Action', 'Drama']",Barry Levinson,2h 9m,72.0,Released,English,-,-
Denard: Anatomy of an Antihero,2021,['Action'],Alan Delabie,1h 20m,60.0,Released,English,-,-
Godzilla x Kong: The New Empire,2024,"['Action', 'Science Fiction', 'Adventure']",Adam Wingard, -,0.0,In Production,English,-,-
Talk to Me,2023,"['Horror', 'Thriller']",Danny Philippou,1h 35m,72.0,Released,English,"$4,500,000.00","$92,000,000.00"
Mavka: The Forest Song,2023,"['Animation', 'Adventure', 'Family', 'Fantasy']",Oleksandra Ruban,1h 39m,73.0,Released,Ukrainian,"$5,000,000.00","$17,300,000.00"
Casper's Haunted Christmas,2000,"['Animation', 'Family', 'Fantasy']",Owen Hurley,1h 24m,53.0,Released,English,-,-
Cobweb,2023,['Horror'],Samuel Bodin,1h 28m,68.0,Released,English,-,"$5,569,593.00"
