Name,Released year,Genre,Director,Runtime (h),Score,Status,Language,Budget ($),Revenue ($)
When the Bough Breaks,2016,"'Mystery', 'Thriller', 'Drama', 'Horror'",Jon Cassar,1.62,58.0,Released,English,10000000.0,30658387.0
The Accountant,2016,"'Crime', 'Thriller', 'Drama'",Gavin O'Connor,2.13,71.0,Released,English,44000000.0,155160045.0
Sneakers,1992,"'Comedy', 'Crime', 'Drama'",Phil Alden Robinson,2.1,69.0,Released,English,23000000.0,105232691.0
Robin Hood,2010,"'Action', 'Adventure', 'Drama'",Brian Helgeland,2.33,64.0,Released,English,200000000.0,321669741.0
Dracula Untold,2014,"'Horror', 'Action', 'Fantasy'",Bram Stoker,1.53,64.0,Released,English,70000000.0,217124280.0
The Quake,2018,"'Action', 'Drama', 'Thriller'",John Andreas Andersen,1.77,68.0,Released,Norwegian,6300000.0,
Ace Ventura: Pet Detective,1994,"'Comedy', 'Mystery'",Tom Shadyac,1.43,65.0,Released,English,15000000.0,107217396.0
"Godzilla, King of the Monsters!",1956,"'Science Fiction', 'Horror'",Terry O. Morse,1.35,66.0,Released,English,25000.0,2000000.0
Enter the Dragon,1973,'Action',Robert Clouse,1.7,74.0,Released,English,10000000.0,21485066.0
Silence,2016,"'Drama', 'History'",Martin Scorsese,2.68,71.0,Released,English,46000000.0,23737523.0
Death Wish,2018,"'Action', 'Crime', 'Drama', 'Thriller'",Eli Roth,1.78,61.0,Released,English,30000000.0,34017028.0
Inside,2023,"'Drama', 'Thriller'",Vasilis Katsoupis,1.75,57.0,Released,English,,170000.0
You're Next,2013,"'Horror', 'Thriller', 'Mystery'",Adam Wingard,1.5699999999999998,66.0,Released,English,1000000.0,14347000.0
Ju-on: The Grudge,2002,'Horror',Takashi Shimizu,1.53,67.0,Released,Japanese,3500000.0,3657876.0
The Tourist,2010,"'Action', 'Thriller', 'Romance'",Florian Henckel von Donnersmarck,1.72,62.0,Released,English,100000000.0,278731369.0
GoldenEye,1995,"'Adventure', 'Action', 'Thriller'",Ian Fleming,2.17,69.0,Released,English,58000000.0,352194034.0
Christine,1983,'Horror',John Carpenter,1.83,69.0,Released,English,9700000.0,21200000.0
"Good Luck to You, Leo Grande",2022,"'Romance', 'Drama'",Sophie Hyde,1.62,70.0,Released,English,,7589829.0
Barbarella,1968,"'Science Fiction', 'Adventure', 'Comedy'",Roger Vadim,1.63,60.0,Released,English,9000000.0,2500000.0
The Bank Job,2008,"'Thriller', 'Crime', 'Drama'",Roger Donaldson,1.87,68.0,Released,English,20000000.0,64828421.0
Alien: Covenant - Prologue: The Crossing,2017,"'Horror', 'Science Fiction'",Ridley Scott,,64.0,Released,English,,
The Losers,2010,"'Action', 'Adventure', 'Crime', 'Mystery', 'Thriller'",Sylvain White,1.62,63.0,Released,English,25000000.0,23580000.0
Scooby-Doo! in Where's My Mummy?,2005,"'Mystery', 'Animation', 'Family', 'Adventure', 'Comedy', 'Fantasy'",Joe Sichta,1.25,74.0,Released,English,,
Polly Pocket Sparkle Cove Adventure,2023,"'Family', 'Animation'",Thom Mckenna,1.1,80.0,Released,English,,
The Autopsy of Jane Doe,2016,"'Horror', 'Mystery'",André Øvredal,1.43,68.0,Released,English,,6170043.0
CODA,2021,"'Drama', 'Music', 'Romance'",Siân Heder,1.87,80.0,Released,English,10000000.0,1600000.0
Wishmaster 2: Evil Never Dies,1999,"'Fantasy', 'Horror'",Jack Sholder,1.6,54.0,Released,English,2500000.0,
Erin Brockovich,2000,'Drama',Steven Soderbergh,2.18,74.0,Released,English,52000000.0,256271286.0
Leatherface: The Texas Chainsaw Massacre III,1990,"'Horror', 'Thriller'",Tobe Hooper,1.42,53.0,Released,English,2000000.0,55765562.0
V/H/S/99,2022,'Horror',Joseph Winter,1.8199999999999998,61.0,Released,English,,
"Lust, Caution",2007,"'Action', 'Drama', 'Romance', 'Thriller'",Ang Lee,2.63,72.0,Released,Chinese,15000000.0,67091915.0
Run All Night,2015,"'Action', 'Crime', 'Thriller'",Jaume Collet-Serra,1.9,64.0,Released,English,50000000.0,71561644.0
The Art of Racing in the Rain,2019,"'Drama', 'Romance'",Simon Curtis,1.8199999999999998,82.0,Released,English,18000000.0,33766787.0
The Roundup: No Way Out,2023,"'Crime', 'Action'",Lee Sang-yong,1.75,69.0,Released,Korean,,83400000.0
Diary of a Nymphomaniac,2008,"'Drama', 'Romance'",Christian Molina,1.7,55.0,Released,Spanish; Castilian,,
Barbie in The 12 Dancing Princesses,2006,"'Animation', 'Family'",Ruth Handler,1.37,77.0,Released,English,,
Puss in Book: Trapped in an Epic Tale,2017,"'Family', 'Fantasy', 'Animation', 'Comedy', 'Adventure'",Roy Burdine,,66.0,Released,English,,
The Portable Door,2023,"'Fantasy', 'Adventure', 'Comedy'",Tom Holt,1.9300000000000002,67.0,Released,English,,
Pokémon the Movie: Volcanion and the Mechanical Marvel,2016,"'Family', 'Adventure', 'Animation', 'Fantasy', 'Science Fiction'",Kunihiko Yuyama,1.62,67.0,Released,Japanese,,
Octopussy,1983,"'Adventure', 'Action', 'Thriller'",John Glen,2.18,63.0,Released,English,27500000.0,187500000.0
Annabelle,2014,'Horror',John R. Leonetti,1.65,58.0,Released,English,6500000.0,257047661.0
The Hunchback of Notre Dame II,2002,"'Animation', 'Family', 'Comedy'",Bradley Raymond,1.13,54.0,Released,English,,
The Long Kiss Goodnight,1996,"'Crime', 'Action', 'Mystery', 'Thriller'",Renny Harlin,2.02,66.0,Released,English,65000000.0,89500000.0
God's Not Dead: A Light in Darkness,2018,"'Drama', 'Fantasy'",Michael Mason,1.75,67.0,Released,English,,5700000.0
Silverado,1985,"'Western', 'Action'",Lawrence Kasdan,2.22,70.0,Released,English,23000000.0,32200000.0
Female War: A Nasty Deal,2015,"'Drama', 'Romance'",No Zin-soo,1.83,45.0,Released,Korean,,
The Pink Panther,2006,"'Comedy', 'Mystery', 'Crime', 'Adventure', 'Family'",Len Blum,1.55,58.0,Released,English,65000000.0,158851357.0
X-Rated 2: The Greatest Adult Stars of All-Time,2016,'Documentary',Eli Cross,1.58,67.0,Released,English,,
Universal Soldier: The Return,1999,"'Action', 'Science Fiction'",Richard Rothstein,1.37,59.0,Released,English,33500000.0,10700000.0
Black Christmas,2006,"'Horror', 'Thriller'",Glen Morgan,1.58,52.0,Released,English,9000000.0,21500000.0
The Secret World of Arrietty,2010,"'Fantasy', 'Animation', 'Family'",Hiromasa Yonebayashi,1.5699999999999998,76.0,Released,Japanese,23000000.0,149480483.0
Before the Devil Knows You're Dead,2007,"'Crime', 'Drama', 'Thriller'",Sidney Lumet,1.95,71.0,Released,English,18000000.0,25005257.0
The Beverly Hillbillies,1993,'Comedy',Penelope Spheeris,1.55,62.0,Released,English,,
Gattaca,1997,"'Thriller', 'Science Fiction', 'Mystery', 'Romance'",Andrew Niccol,1.77,76.0,Released,English,36000000.0,12532777.0
"Planes, Trains and Automobiles",1987,'Comedy',John Hughes,1.55,72.0,Released,English,15000000.0,49500000.0
In the Realm of the Senses,1976,"'Drama', 'Romance'",Nagisa Ōshima,1.75,66.0,Released,Japanese,,
The Spy Who Dumped Me,2018,"'Action', 'Comedy'",Susanna Fogel,1.95,64.0,Released,English,40000000.0,33562069.0
Close Encounters of the Third Kind,1977,"'Science Fiction', 'Drama'",Steven Spielberg,2.25,74.0,Released,English,20000000.0,306889114.0
Freaky Friday,2003,"'Comedy', 'Family', 'Fantasy'",Mark Waters,1.62,65.0,Released,English,26000000.0,160846332.0
Sinister,2012,"'Horror', 'Thriller', 'Mystery'",Scott Derrickson,1.83,69.0,Released,English,3000000.0,82515113.0
The Last House on the Left,1972,"'Horror', 'Thriller'",Wes Craven,1.4,59.0,Released,English,90000.0,
Vacation,2015,'Comedy',Jonathan Goldstein,1.65,63.0,Released,English,31000000.0,104384188.0
Mortal Kombat Legends: Snow Blind,2022,"'Animation', 'Action', 'Fantasy'",Rick Morales,1.37,79.0,Released,English,,
She's the Man,2006,"'Comedy', 'Romance'",Ewan Leslie,1.75,68.0,Released,English,20000000.0,33900000.0
Bad Sister,2015,"'Thriller', 'TV Movie'",Doug Campbell,1.42,67.0,Released,English,,
The King's Speech,2010,"'Drama', 'History'",Tom Hooper,1.97,77.0,Released,English,15000000.0,414211549.0
Demolition Man,1993,"'Crime', 'Action', 'Science Fiction'",Robert Reneau,1.92,67.0,Released,English,57000000.0,58055768.0
Tarzan II,2005,"'Adventure', 'Animation', 'Family'",Brian Smith,1.2,60.0,Released,English,,
RV,2006,"'Family', 'Comedy'",Barry Sonnenfeld,1.65,59.0,Released,English,50000000.0,87528173.0
Steven Universe: The Movie,2019,"'TV Movie', 'Animation', 'Science Fiction', 'Action', 'Adventure', 'Comedy', 'Drama', 'Fantasy', 'Music'",Rebecca Sugar,1.37,82.0,Released,English,,
The World Is Not Enough,1999,"'Adventure', 'Action', 'Thriller'",Ian Fleming,2.13,63.0,Released,English,135000000.0,361832400.0
47 Ronin,2013,"'Drama', 'Action', 'Fantasy'",Carl Rinsch,1.98,62.0,Released,English,175000000.0,151783839.0
Evan Almighty,2007,"'Fantasy', 'Comedy', 'Family'",Steve Oedekerk,1.6,56.0,Released,English,175000000.0,174440724.0
8-Bit Christmas,2021,"'Family', 'Comedy'",Michael Dowse,1.63,64.0,Released,English,,
The Lord of the Rings,1978,"'Adventure', 'Animation', 'Fantasy'",Ralph Bakshi,2.2,66.0,Released,English,4000000.0,30500000.0
21 Jump Street,2012,"'Action', 'Comedy', 'Crime'",Michael Bacall,1.8199999999999998,69.0,Released,English,42000000.0,201600000.0
Paranormal Activity: The Ghost Dimension,2015,"'Horror', 'Thriller'",Jason Pagan,1.47,53.0,Released,English,10000000.0,78903124.0
Joy Ride,2023,'Comedy',Adele Lim,1.58,66.0,Released,English,20000000.0,15800000.0
Renaissance: A Film by Beyoncé,2023,"'Music', 'Documentary'",Beyoncé,2.83,86.0,Released,English,,33600000.0
In the Line of Fire,1993,"'Action', 'Drama', 'Thriller', 'Crime', 'Mystery'",Jeff Maguire,2.13,70.0,Released,English,40000000.0,176997168.0
Krampus: The Reckoning,2015,'Horror',Robert Conway,1.48,33.0,Released,English,,
Big Momma's House,2000,"'Crime', 'Comedy'",Darryl Quarles,1.63,58.0,Released,English,30000000.0,173959438.0
Teenage Mutant Ninja Turtles II: The Secret of the Ooze,1991,"'Science Fiction', 'Adventure', 'Action', 'Comedy', 'Family'",Kevin Eastman,1.47,61.0,Released,English,25000000.0,78656813.0
Hotel Paradise,1980,"'Drama', 'Action', 'Adventure'",Sergio Chiusi,1.5699999999999998,54.0,Released,Italian,,
Brazil,1985,"'Comedy', 'Science Fiction'",Terry Gilliam,2.38,77.0,Released,English,15000000.0,9900000.0
Watcher,2022,"'Horror', 'Mystery', 'Thriller'",Chloe Okuno,1.6,65.0,Released,English,5000000.0,2543216.0
Tom and Jerry: The Fast and the Furry,2005,"'Family', 'Animation', 'Comedy', 'Action', 'Adventure'",Joseph Barbera,1.25,69.0,Released,English,,
Did You Hear About the Morgans?,2009,"'Comedy', 'Drama', 'Romance'",Marc Lawrence,1.72,54.0,Released,English,58000000.0,85280250.0
Spider-Man 2,2004,"'Action', 'Adventure', 'Fantasy'",Sam Raimi,2.12,73.0,Released,English,200000000.0,788976453.0
Sin City,2005,"'Thriller', 'Action', 'Crime'",Robert Rodriguez,2.07,74.0,Released,English,40000000.0,158733820.0
Miss Congeniality,2000,"'Comedy', 'Crime', 'Action'",Donald Petrie,1.85,65.0,Released,English,45000000.0,212000000.0
Remember Me,2010,"'Drama', 'Romance'",Allen Coulter,1.88,71.0,Released,English,16000000.0,56000000.0
The Great Mouse Detective,1986,"'Animation', 'Family', 'Adventure', 'Mystery'",Burny Mattinson,1.23,70.0,Released,English,14000000.0,38625550.0
Elizabeth: The Golden Age,2007,"'Drama', 'History', 'Romance'",Shekhar Kapur,1.9,67.0,Released,English,55000000.0,74237563.0
The 13th Warrior,1999,"'Adventure', 'History', 'Action'",John McTiernan,1.7,67.0,Released,English,160000000.0,61698899.0
The Professor and the Madman,2019,"'History', 'Drama', 'Mystery', 'Thriller'",Farhad Safinia,2.07,72.0,Released,English,25000000.0,4957273.0
Scrapper,2023,"'Comedy', 'Drama'",Charlotte Regan,1.4,66.0,Released,English,,
Quiz Lady,2023,'Comedy',Jessica Yu,1.67,68.0,Released,English,,
Magic Mike's Last Dance,2023,"'Comedy', 'Drama', 'Romance', 'Music'",Reid Carolin,1.87,67.0,Released,English,45000000.0,52000000.0
Big Momma's House 2,2006,"'Comedy', 'Crime'",Darryl Quarles,1.65,57.0,Released,English,40000000.0,138259062.0
Diary of a Wimpy Kid: The Long Haul,2017,"'Comedy', 'Family'",David Bowers,1.52,53.0,Released,English,22000000.0,40120144.0
"Planes, Trains, and Christmas Trees",2022,"'TV Movie', 'Comedy', 'Romance', 'Family'",Marta Borowski,1.42,69.0,Released,English,,
Sister Act,1992,"'Music', 'Comedy'",Emile Ardolino,1.67,68.0,Released,English,31000000.0,231605150.0
Jikirag,2022,'Horror',Alexander J. Baxter,,68.0,Released,English,,
In the Mood for Love,2000,"'Drama', 'Romance'",Wong Kar-wai,1.65,81.0,Released,Cantonese,150000.0,14204632.0
Under the stars,2023,"'Comedy', 'History'",Sébastien Tulard,1.83,67.0,Released,French,,
Public Enemies,2009,"'Crime', 'Action'",Michael Mann,2.33,67.0,Released,English,100000000.0,214104620.0
Vertigo,1958,"'Mystery', 'Romance', 'Thriller'",Alfred Hitchcock,2.13,82.0,Released,English,2479000.0,7797728.0
Cult of Chucky,2017,"'Horror', 'Thriller'",Don Mancini,1.52,58.0,Released,English,6500000.0,2200000.0
The Best Man,2023,"'Action', 'Thriller'",Shane Dax Taylor,1.55,62.0,Released,English,,
Avengers Confidential: Black Widow & Punisher,2014,"'Animation', 'Science Fiction', 'Action'",Stan Lee,1.38,63.0,Released,Japanese,,
Dungeons & Dragons: Wrath of the Dragon God,2005,"'Action', 'Adventure', 'Fantasy', 'TV Movie'",Gerry Lively,1.75,45.0,Released,English,,
Daddy's Home,2015,'Comedy',Brian Burns,1.6,63.0,Released,English,50000000.0,242786137.0
The Hundred-Foot Journey,2014,"'Drama', 'Comedy'",Richard C. Morais,2.03,73.0,Released,English,22000000.0,89514453.0
Antichrist,2009,"'Drama', 'Horror', 'Thriller'",Lars von Trier,1.8,66.0,Released,English,11000000.0,791867.0
Merry Magic Christmas,2023,"'TV Movie', 'Comedy', 'Romance'",Aubrey Arnason,1.5,0.0,Released,English,,
The War with Grandpa,2020,"'Comedy', 'Family'",Tim Hill,1.63,64.0,Released,English,18000000.0,43387445.0
"I, Tonya",2017,"'Drama', 'Comedy'",Craig Gillespie,,75.0,Released,English,11000000.0,53900000.0
The Virgin Suicides,1999,"'Drama', 'Romance'",Sofia Coppola,1.62,71.0,Released,English,6000000.0,10409377.0
Rush,2013,"'Drama', 'Action'",Ron Howard,2.05,77.0,Released,English,38000000.0,90247624.0
Captain Fantastic,2016,"'Adventure', 'Drama'",Matt Ross,1.97,79.0,Released,English,5000000.0,23123592.0
Mars Attacks!,1996,"'Comedy', 'Fantasy', 'Science Fiction'",Tim Burton,1.77,64.0,Released,English,70000000.0,101371017.0
Godzilla Raids Again,1955,"'Science Fiction', 'Horror', 'Action'",Motoyoshi Oda,1.37,59.0,Released,Japanese,800000.0,1952653.0
Bloodsport,1988,"'Action', 'Thriller'",Newt Arnold,1.53,70.0,Released,English,1500000.0,65000000.0
The Concubine,2012,'Drama',Kim Dae-seung,2.03,61.0,Released,Korean,,16465764.0
Easy A,2010,'Comedy',Will Gluck,1.55,68.0,Released,English,8000000.0,75026327.0
Resident Evil: Damnation,2012,"'Animation', 'Horror', 'Action'",Makoto Kamiya,1.67,69.0,Released,English,,2325035.0
Jason Goes to Hell: The Final Friday,1993,'Horror',Adam Marcus,1.47,45.0,Released,English,3000000.0,15900000.0
Facing the Giants,2006,'Drama',Alex Kendrick,1.85,75.0,Released,English,100000.0,10200000.0
I Want to Eat Your Pancreas,2018,"'Animation', 'Drama', 'Romance'",Shinichiro Ushijima,1.8,83.0,Released,Japanese,,33748006.0
Confessions of a Frustrated Housewife,1976,'Drama',Andrea Bianchi,1.53,73.0,Released,Italian,,
Popstar: Never Stop Never Stopping,2016,"'Comedy', 'Music'",Jorma Taccone,1.43,66.0,Released,English,20000000.0,9496130.0
Evil Dead II,1987,"'Horror', 'Comedy', 'Fantasy'",Sam Raimi,1.4,76.0,Released,English,3500000.0,10900000.0
The Rescue: The Weight of the World,2023,"'Drama', 'Thriller'",Daniela Goggi,1.58,66.0,Released,Spanish; Castilian,,
A Writer's Odyssey,2021,"'Fantasy', 'Action', 'Adventure', 'Drama'",Lu Yang,2.17,73.0,Released,Chinese,,150123320.0
The Graduate,1967,"'Comedy', 'Drama', 'Romance'",Mike Nichols,1.77,76.0,Released,English,3000000.0,104945305.0
Confessions of a Shopaholic,2009,"'Comedy', 'Romance'",P.J. Hogan,1.73,64.0,Released,English,40000000.0,108300000.0
Love and Monsters,2020,"'Comedy', 'Action', 'Adventure', 'Science Fiction'",Brian Duffield,1.8199999999999998,73.0,Released,English,30000000.0,1122066.0
Atonement,2007,"'Drama', 'Romance'",Joe Wright,2.05,77.0,Released,English,30000000.0,131016624.0
Buried,2010,"'Drama', 'Thriller', 'Mystery'",Rodrigo Cortés,1.5699999999999998,66.0,Released,English,1987650.0,19152480.0
Ong-Bak,2003,"'Action', 'Thriller', 'Crime', 'Adventure'",Prachya Pinkaew,1.75,71.0,Released,Thai,1100000.0,20112926.0
The 40 Year Old Virgin,2005,"'Comedy', 'Romance'",Judd Apatow,1.9300000000000002,64.0,Released,English,26000000.0,177400000.0
Scent of a Woman,1992,'Drama',Dino Risi,2.6,78.0,Released,English,31000000.0,134100000.0
The Game of Trust,2023,'Drama',Martin Makariev,1.5,70.0,Released,Bulgarian,,
Salt,2010,"'Action', 'Mystery', 'Thriller'",Phillip Noyce,1.67,64.0,Released,English,110000000.0,293329073.0
9 Songs,2004,"'Drama', 'Music', 'Romance'",Michael Winterbottom,1.15,56.0,Released,English,1000000.0,1574623.0
Jurassic Park,1993,"'Adventure', 'Science Fiction'",Michael Crichton,2.12,79.0,Released,English,63000000.0,920100000.0
The Orphanage,2007,"'Horror', 'Drama', 'Thriller'",J. A. Bayona,1.75,72.0,Released,Spanish; Castilian,3400000.0,78638987.0
Dennis the Menace,1993,"'Family', 'Comedy'",Nick Castle,1.5699999999999998,58.0,Released,English,35000000.0,117270765.0
Halloween,2018,"'Horror', 'Thriller'",David Gordon Green,1.77,66.0,Released,English,10000000.0,259900000.0
The Man from U.N.C.L.E.,2015,"'Comedy', 'Action', 'Adventure'",Guy Ritchie,1.9300000000000002,71.0,Released,English,75000000.0,108145109.0
Step Up Revolution,2012,"'Music', 'Drama', 'Romance'",Duane Adler,1.65,69.0,Released,English,33000000.0,140470746.0
How to Be Single,2016,"'Comedy', 'Romance'",Christian Ditter,1.83,62.0,Released,English,38000000.0,112343513.0
Back to the Outback,2021,"'Animation', 'Family', 'Adventure', 'Comedy'",Harry Cripps,1.53,78.0,Released,English,,
Hugo,2011,"'Adventure', 'Drama', 'Family'",Martin Scorsese,2.1,72.0,Released,English,170000000.0,185770160.0
The Lighthouse,2019,"'Drama', 'Fantasy', 'Thriller', 'Horror'",Robert Eggers,1.8199999999999998,75.0,Released,English,11000000.0,18129854.0
Home on the Range,2004,"'Animation', 'Family'",John Sanford,1.27,60.0,Released,English,110000000.0,145358062.0
Alpha Dog,2006,"'Crime', 'Drama', 'Thriller'",Nick Cassavetes,2.03,66.0,Released,English,9500000.0,32400000.0
Night at the Museum: Kahmunrah Rises Again,2022,"'Animation', 'Comedy', 'Family', 'Fantasy'",Matt Danner,1.28,66.0,Released,English,,
The Outlaws,2017,"'Action', 'Crime'",Kang Yun-sung,2.02,78.0,Released,Korean,5900000.0,53000000.0
Abominable,2019,"'Family', 'Animation', 'Adventure', 'Comedy'",Jill Culton,1.62,75.0,Released,English,75000000.0,190304772.0
Friday the 13th Part VI: Jason Lives,1986,"'Horror', 'Mystery', 'Thriller'",Tom McLoughlin,1.43,62.0,Released,English,3000000.0,19500000.0
One Shot,2021,'Action',James Nunn,1.62,68.0,Released,English,,29439.0
The Way of the Dragon,1972,"'Action', 'Crime'",Bruce Lee,1.67,74.0,Released,Cantonese,130000.0,27000000.0
Everest,2015,"'Adventure', 'Drama', 'History'",Baltasar Kormákur,2.02,68.0,Released,English,55000000.0,203427584.0
The Ultimate Gift,2007,"'Romance', 'Drama', 'Family'",Michael O. Sajbel,1.9,76.0,Released,English,,3438735.0
Where the Wild Things Are,2009,"'Family', 'Fantasy', 'Drama', 'Adventure'",Spike Jonze,1.6800000000000002,65.0,Released,English,100000000.0,100140916.0
Metropolis,1927,"'Drama', 'Science Fiction'",Fritz Lang,2.48,82.0,Released,German,1300000.0,650422.0
Mainstream,2021,"'Comedy', 'Drama'",Gia Coppola,1.58,63.0,Released,English,5000000.0,
Trainwreck,2015,"'Comedy', 'Romance'",Judd Apatow,2.08,58.0,Released,English,35000000.0,140795793.0
Four Brothers,2005,"'Action', 'Crime'",John Singleton,1.8199999999999998,68.0,Released,English,45000000.0,92374674.0
Nowhere to Run,1993,"'Action', 'Drama', 'Thriller', 'Romance'",Joe Eszterhas,1.5699999999999998,64.0,Released,English,15000000.0,64000000.0
Evangelion: 3.0+1.0 Thrice Upon a Time,2021,"'Animation', 'Action', 'Science Fiction', 'Drama'",Hideaki Anno,2.58,83.0,Released,Japanese,,92300000.0
Willy's Wonderland,2021,"'Action', 'Horror', 'Comedy'",Kevin Lewis,1.47,61.0,Released,English,5000000.0,431020.0
Revival of Evangelion,1998,"'Action', 'Animation', 'Drama', 'Science Fiction'",Hideaki Anno,2.67,76.0,Released,Japanese,,
Look Away,2018,"'Horror', 'Thriller', 'Fantasy'",Assaf Bernstein,1.72,65.0,Released,English,,1119537.0
The Cave,2005,"'Action', 'Adventure', 'Horror', 'Thriller'",Bruce Hunt,1.62,53.0,Released,English,30000000.0,33296457.0
Lethal Weapon 2,1989,"'Action', 'Adventure', 'Comedy', 'Crime', 'Thriller'",Shane Black,1.9,70.0,Released,English,25000000.0,227900000.0
AINBO: Spirit of the Amazon,2021,"'Adventure', 'Animation', 'Family', 'Fantasy'",Richard Claus,1.4,70.0,Released,English,,10237061.0
The Impossible,2012,"'Adventure', 'Drama', 'Thriller'",J. A. Bayona,1.88,74.0,Released,English,45000000.0,198087212.0
Street Fighter II: The Animated Movie,1994,"'Animation', 'Action'",Gisaburō Sugii,1.6800000000000002,70.0,Released,Japanese,,
Universal Soldier,1992,"'Thriller', 'Action', 'Science Fiction', 'Crime'",Roland Emmerich,1.7,63.0,Released,English,23000000.0,95000000.0
Ender's Game,2013,"'Science Fiction', 'Action', 'Adventure'",Gavin Hood,1.9,66.0,Released,English,110000000.0,125537191.0
Cirque du Freak: The Vampire's Assistant,2009,"'Adventure', 'Fantasy', 'Action', 'Thriller'",Paul Weitz,1.8199999999999998,58.0,Released,English,40000000.0,28169671.0
The Aviator,2004,'Drama',Martin Scorsese,2.83,72.0,Released,English,110000000.0,213700000.0
The Karate Kid Part II,1986,"'Adventure', 'Drama', 'Action', 'Romance', 'Family'",John G. Avildsen,1.88,63.0,Released,English,13000000.0,115103979.0
Remember,2022,"'Thriller', 'Action', 'Drama'",Lee Il-hyung,2.13,74.0,Released,Korean,,
A Nightmare on Elm Street,2010,"'Horror', 'Mystery', 'Thriller'",Wesley Strick,1.58,55.0,Released,English,35000000.0,115664037.0
Babe: Pig in the City,1998,"'Adventure', 'Comedy', 'Drama', 'Family', 'Fantasy'",George Miller,1.53,56.0,Released,English,90000000.0,69131860.0
Saint Seiya: Legend of Sanctuary,2014,"'Action', 'Animation', 'Fantasy'",Keiichi Sato,1.55,66.0,Released,Japanese,23000000.0,17150803.0
Airplane!,1980,'Comedy',Jerry Zucker,1.47,73.0,Released,English,3500000.0,83453539.0
Gravity,2013,"'Science Fiction', 'Thriller', 'Drama'",Alfonso Cuarón,1.52,72.0,Released,English,105000000.0,723192705.0
I Am Number Four,2011,"'Action', 'Thriller', 'Science Fiction', 'Adventure'",D. J. Caruso,1.8199999999999998,62.0,Released,English,50000000.0,149900000.0
Ouija,2014,'Horror',Stiles White,1.48,52.0,Released,English,5000000.0,103590271.0
Wallace & Gromit: The Curse of the Were-Rabbit,2005,"'Adventure', 'Animation', 'Comedy', 'Family'",Nick Park,1.42,71.0,Released,English,30000000.0,192610372.0
The Number 23,2007,"'Thriller', 'Mystery', 'Crime'",Joel Schumacher,1.63,64.0,Released,English,30000000.0,77566815.0
Journey to Bethlehem,2023,"'Drama', 'Family', 'Fantasy'",Adam Anders,1.63,53.0,Released,English,6000000.0,6200000.0
Get Real,1999,"'Drama', 'Romance'",Simon Shore,1.8,67.0,Released,English,1200000.0,1200000.0
Under Siege 2: Dark Territory,1995,"'Action', 'Thriller'",J.F. Lawton,1.67,58.0,Released,English,60000000.0,104324083.0
Eradication,2022,"'Horror', 'Thriller'",Daniel Byers,1.4,64.0,Released,English,5000.0,
Diary of a Wimpy Kid: Rodrick Rules,2011,"'Family', 'Comedy'",David Bowers,1.65,66.0,Released,English,21000000.0,72526996.0
We'll Never Have Paris,2014,"'Comedy', 'Romance'",Simon Helberg,1.48,49.0,Released,English,,
Ferris Bueller's Day Off,1986,'Comedy',John Hughes,1.72,76.0,Released,English,6000000.0,70100000.0
Gone with the Wind,1939,"'Drama', 'War', 'Romance'",Victor Fleming,3.88,80.0,Released,English,4000000.0,402352579.0
Miss Congeniality 2: Armed and Fabulous,2005,"'Action', 'Comedy'",John Pasquin,1.92,58.0,Released,English,,101393569.0
Legends of the Fall,1994,"'Adventure', 'Drama', 'Romance', 'War', 'Western'",Edward Zwick,2.22,74.0,Released,English,30000000.0,160638883.0
The Substitute,1996,'Action',Robert Mandel,1.9,69.0,Released,English,,14818176.0
Zatch Bell! 101st Devil,2004,"'Comedy', 'Animation', 'Adventure', 'Action'",Junji Shimizu,1.4,70.0,Released,Japanese,,
One Piece: Strong World Episode 0,2010,"'Action', 'Animation', 'Comedy'",Takashi Hashimoto,,73.0,Released,Japanese,,
Weird Science,1985,"'Comedy', 'Romance', 'Science Fiction'",John Hughes,1.55,65.0,Released,English,7500000.0,38934048.0
Godzilla 2000: Millennium,1999,"'Action', 'Adventure', 'Science Fiction'",Takao Okawara,1.78,69.0,Released,Japanese,8300000.0,25000000.0
Naked Gun 33⅓: The Final Insult,1994,"'Comedy', 'Crime'",Peter Segal,1.38,65.0,Released,English,30000000.0,51132598.0
Arthur and the Invisibles,2006,"'Adventure', 'Fantasy', 'Animation', 'Family'",Luc Besson,1.5699999999999998,64.0,Released,English,86000000.0,107944236.0
The Apartment,1960,"'Comedy', 'Drama', 'Romance'",Billy Wilder,2.08,82.0,Released,English,3000000.0,25000000.0
Basic Instinct 2,2006,"'Crime', 'Mystery', 'Thriller'",Leora Barish,1.9,51.0,Released,English,70000000.0,38629478.0
DOA: Dead or Alive,2006,"'Adventure', 'Action', 'Thriller'",J.F. Lawton,1.45,52.0,Released,English,21000000.0,7563172.0
Ashfall,2019,"'Action', 'Adventure', 'Thriller'",Lee Hae-jun,2.13,68.0,Released,Korean,17700000.0,61321941.0
RoboCop 3,1993,"'Action', 'Adventure', 'Crime', 'Science Fiction', 'Thriller'",Fred Dekker,1.73,48.0,Released,English,22000000.0,10696210.0
Lady and the Tramp II: Scamp's Adventure,2001,"'Family', 'Animation', 'Romance', 'Adventure'",Ward Greene,1.15,64.0,Released,English,,
Bridge to Terabithia,2007,"'Adventure', 'Drama', 'Family'",Gábor Csupó,1.6,73.0,Released,English,60000000.0,137587063.0
Joy,2015,"'Drama', 'Comedy'",David O. Russell,2.07,65.0,Released,English,60000000.0,101134059.0
